"ft.idx","mz.precursor","rt","tissue03","tissue04","tissue05","tissue06","tissue07","tissue08","mz.product","int.product"
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,39.0202989514128,3680
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,41.0357593666166,14051.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,43.0512956725419,32513.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,44.0548262803947,1291.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,53.0353668683079,2269
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,68.0460995509896,24269.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,70.0616140976482,1401865.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,70.4060238179958,5009.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,70.4443181154873,3927.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,71.0650170855458,59603.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,98.0554088101089,383
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,116.066299648802,2708.5
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,44.0101255549974,3090.5
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,54.0308912395747,8370
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,55.0148641191128,5006
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,58.0491233620642,362
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,71.0572162853144,5394.5
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,72.0409001684267,2216
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,82.0246592267608,3723.5
33,117.064729194445,636.56,12972,13054,12879,15299,14301,13629,99.0511243118507,1460
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,28.0157682155182,1802
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,30.031090696594,4007
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,43.0264443208179,10755
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,44.0334688103942,374.5
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,55.0262890497758,5555
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,59.0097222609222,239
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,72.0517058327376,5474
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,73.0351561254149,733
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,73.0590384378439,618
34,118.059589532071,616.1675,20546,20227,14359,16818,16276,14434,76.0358679551186,680
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,43.0384524749104,2967.5
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,58.0620127916585,1170008
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,58.386300857906,661
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,58.4055074084181,1192
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,58.4076647779207,1634
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,58.4280745356999,632.5
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,58.4668154698158,341.5
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,59.0691387852636,289934
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,59.3973044953583,217
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,74.0564056009327,1487.5
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,102.049527764936,468
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,102.051711704824,611
35,118.085473299273,465.21,603253,601743,603248,627472,603168,570175,118.082699088604,42877.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,26.0125106256051,741
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,27.0204901365402,2841.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,29.0108985791287,1945
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,29.0361899776848,4119.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,31.0152871502713,1315.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,31.9868045793749,721
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,37.0043835226082,571.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,37.9992679779784,476
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,38.0122263732208,592.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,39.0203158333557,14432.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,42.0311201966826,34750.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,45.0303897307302,5358
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,51.0197106416555,1025.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,53.0353153886076,12441
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,55.0513612853594,573035.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,55.3854667402412,227.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,55.4079259485409,296
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,56.0466604914273,15557
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,57.0541507430022,75647
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,59.0462111849908,11461
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,60.0498435060339,319
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,65.0345319748003,1669
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,72.0777384569907,270891.5
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,77.0348926985551,3451
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,91.0503531457736,1675
36,118.085438656878,517.23,93703,92694,87686,88328,81808,84175,95.0443922199822,432
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,26.0130344545349,271.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,27.0208151593344,1254
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,28.0157825699335,1099
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,29.0112566303046,1588.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,29.0361913049928,1683.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,30.0310716826362,1559.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,31.0152737744657,3916
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,31.9868519490904,320
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,37.004106878017,364
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,39.0203492831018,7795
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,41.0357714912542,13462
